mu_eV,T_K,PF_W_per_mK2
-2.41126,300,0
-2.41126,400,0
-2.41126,500,0
-2.41126,600,0
-2.39834,300,0
-2.39834,400,0
-2.39834,500,0
-2.39834,600,0
-2.38542,300,0
-2.38542,400,0
-2.38542,500,0
-2.38542,600,0
-2.37249,300,0
-2.37249,400,0
-2.37249,500,0
-2.37249,600,0
-2.35957,300,0
-2.35957,400,0
-2.35957,500,0
-2.35957,600,0
-2.34666,300,0
-2.34666,400,0
-2.34666,500,0
-2.34666,600,0
-2.33373,300,0
-2.33373,400,0
-2.33373,500,0
-2.33373,600,0
-2.32081,300,0
-2.32081,400,0
-2.32081,500,0
-2.32081,600,0
-2.30789,300,0
-2.30789,400,0
-2.30789,500,0
-2.30789,600,0
-2.29497,300,0
-2.29497,400,0
-2.29497,500,0
-2.29497,600,0
-2.28204,300,0
-2.28204,400,0
-2.28204,500,0
-2.28204,600,0
-2.26913,300,0
-2.26913,400,0
-2.26913,500,0
-2.26913,600,0
-2.25621,300,0
-2.25621,400,0
-2.25621,500,0
-2.25621,600,0
-2.24328,300,0
-2.24328,400,0
-2.24328,500,0
-2.24328,600,0
-2.23035,300,0
-2.23035,400,0
-2.23035,500,0
-2.23035,600,0
-2.21744,300,0
-2.21744,400,0
-2.21744,500,0
-2.21744,600,0
-2.20452,300,0
-2.20452,400,0
-2.20452,500,0
-2.20452,600,0
-2.19159,300,0
-2.19159,400,0
-2.19159,500,0
-2.19159,600,0
-2.17868,300,0
-2.17868,400,0
-2.17868,500,0
-2.17868,600,0
-2.16576,300,0
-2.16576,400,0
-2.16576,500,0
-2.16576,600,0
-2.15283,300,0
-2.15283,400,0
-2.15283,500,0
-2.15283,600,0
-2.1399,300,0
-2.1399,400,0
-2.1399,500,0
-2.1399,600,0
-2.12699,300,0
-2.12699,400,0
-2.12699,500,0
-2.12699,600,0
-2.11407,300,0
-2.11407,400,0
-2.11407,500,0
-2.11407,600,0
-2.10114,300,0
-2.10114,400,0
-2.10114,500,0
-2.10114,600,0
-2.08823,300,0
-2.08823,400,0
-2.08823,500,0
-2.08823,600,0
-2.0753,300,0
-2.0753,400,0
-2.0753,500,0
-2.0753,600,0
-2.06238,300,0
-2.06238,400,0
-2.06238,500,0
-2.06238,600,0
-2.04945,300,0
-2.04945,400,0
-2.04945,500,0
-2.04945,600,0
-2.03654,300,0
-2.03654,400,0
-2.03654,500,0
-2.03654,600,0
-2.02362,300,0
-2.02362,400,0
-2.02362,500,0
-2.02362,600,0
-2.01069,300,0
-2.01069,400,0
-2.01069,500,0
-2.01069,600,0
-1.99778,300,0
-1.99778,400,0
-1.99778,500,0
-1.99778,600,0
-1.98485,300,0
-1.98485,400,0
-1.98485,500,0
-1.98485,600,0
-1.97193,300,0
-1.97193,400,0
-1.97193,500,0
-1.97193,600,0
-1.95902,300,0
-1.95902,400,0
-1.95902,500,0
-1.95902,600,0
-1.94609,300,0
-1.94609,400,0
-1.94609,500,0
-1.94609,600,0
-1.93317,300,0
-1.93317,400,0
-1.93317,500,0
-1.93317,600,0
-1.92024,300,0
-1.92024,400,0
-1.92024,500,0
-1.92024,600,0
-1.90733,300,0
-1.90733,400,0
-1.90733,500,0
-1.90733,600,0
-1.8944,300,0
-1.8944,400,0
-1.8944,500,0
-1.8944,600,0
-1.88148,300,0
-1.88148,400,0
-1.88148,500,0
-1.88148,600,0
-1.86857,300,0
-1.86857,400,0
-1.86857,500,0
-1.86857,600,0
-1.85564,300,0
-1.85564,400,0
-1.85564,500,0
-1.85564,600,0
